Q96NS5	P21854 
O75426	P41597
O60307	Q8NEX6
P16152	Q96E40
Q13686	Q9UIC8
Q9P2S6	Q9H706
O15540	Q5JQS6
O95231	P43357
Q9Y2G0	P41222
Q96EY7	Q6IPX3
P04553	P07339
Q7RTU9	Q9NP99
Q5SRE7	Q9BXV9
Q10713	P56817
Q5VYJ5	Q9UBI6
Q92576	Q9H2C5
P49327	Q9HD89
P78411	C9J442
P23634	O95450
B1AL88	Q7RTY5
Q9UJK0	Q5TGS1
Q8NH19	Q9NWZ8
Q86W56	O15117
P35575	Q9BQ15
Q5D1E8	Q9UL17
Q86W25	Q96DX8
Q8NCI6	Q96MC9
Q9NYW5	P51161
Q12774	Q03154
Q13342	Q8TBB5
Q99645	Q96BS2
Q96SE0	P21452
Q9H900	O75832
Q5HY64	Q69YW2
Q6P1M0	O75628
Q9NXF8	P08118
Q6ZU52	Q96R27
Q7Z5Q5	P32322
O95389	Q8NBR9
Q9Y4R8	P48065
P08686	A6NLU5
Q9BS86	Q8TAI1
Q9H706	Q9H920
Q9NY47	P47902
Q9NUE0	Q8NGJ6
Q10586	Q96G27
Q9UBY8	Q9Y581
Q9NVE4	Q96SF2
Q12864	O75947
Q8N7A1	Q8NG94
Q7L1T6	A6NGG3
Q96K75	Q15365
O75694	P59901
P06400	Q8N5H3
Q96JJ7	P26718
Q6IF82	P10746
Q9UP79	P58005
P37802	Q9H8H3
O00462	Q8N816
Q9P2E8	Q9UBK5
Q00266	Q5JXA9
A6PVS8	O14682
Q9NPB8	Q96EL2
Q3LI72	Q8TBP6
Q2TBF2	Q16775
O75976	Q92888
Q9UGR2	P35475
Q96KW2	Q14181
Q6ZP68	O95298
Q9Y663	P51810
Q8N9W8	Q8NG81
P42892	O60320
Q86W25	Q02509
P04003	A6NP61
Q96NT1	Q9BXN6
Q14703	P17050
Q9UK73	A5D8V7
O43290	Q9Y5C1
P43220	O60542
Q13505	Q8WTW4
P11117	Q93088
Q9BQG0	Q9H4A6
Q5T4B2	Q9H857
Q6IEE8	Q6W3E5
Q9UJQ7	Q9Y530
Q68D85	Q7L8C5
P43155	Q9H0C2
Q8IZU2	Q9BVG9
Q7Z6J2	Q6IQ20
O43323	Q9P0T7
Q9Y6T7	P55318
Q8NAX2	O75431
Q8NGQ3	A6NFK2
O00512	Q8NBI3
Q9Y6I7	O95149
Q96QE4	Q9P2D6
Q9Y337	O14949
Q9NYI0	Q9HB96
Q8NHQ9	P0C7M8
Q8NGL6	Q8TCB7
Q8NHC4	Q6ZNQ3
Q9UGM1	Q8IU99
Q0VAA2	O75474
M0R2V9	Q9H6R6
Q969P6	Q7L4S7
Q96B33	Q9NRX2
O75064	P02792
Q9BYC2	Q8N8V4
Q9NWB1	Q8N140
Q6XUX3	Q5JRK9
Q9ULJ8	Q495B1
P41225	Q16635
Q12946	Q14141
Q8NGD1	Q96HE9
Q92521	O43768
Q7Z5H3	O95925
Q2Q1W2	P0C7M8
Q96ER9	P30050
Q9Y6Y1	P07332
P14618	O75478
Q92502	P58181
Q9BQI3	Q6U736
Q6P0Q8	Q5VUY0
Q5VU92	Q9H477
Q9Y4R8	P35790
Q8N3D4	Q6IMI6
Q9NSA0	P11049
Q9P2B7	P14406
P04553	P31949
Q9C0B5	Q7L8L6
Q9Y256	P13725
O94830	Q8TDB4
Q68CZ2	P40306
Q6ZQW0	P13232
Q8WUU4	Q96DD7
Q9NVV4	Q96A26
O60259	Q8WWF1
O75676	Q9Y5I7
Q5SSJ5	Q9BWJ5
O95081	Q5T750
Q13347	Q96S21
P36268	Q9H346
Q8WZ19	Q8NEX6
O14678	P58417
Q14651	Q13112
Q8N3J6	Q8N5N7
Q8NHM5	A6NJ78
Q9GZL7	O75352
B5MCY1	O94973
Q86WG5	Q6EIG7
O94805	Q8TCD1
Q9Y5J5	Q502X0
Q5T1B0	Q01449
Q12765	Q14641
A6NIU2	Q9P021
Q9BXB1	P15374
Q96ES6	Q6P387
Q6H3X3	Q8N7L0
Q9BT78	P30046
P25325	P58549
A2RTY3	Q2MKA7
Q86YH2	Q9NP92
Q6ZU65	O95786
O95235	Q16650
Q96MC2	Q12778
Q2M1P5	O43181
Q9UPX6	Q8NG48
Q96A99	Q96KX1
O95714	Q14507
Q96HU1	Q8NGL2
Q7Z4T8	Q9HA92
Q86YT5	Q9BX67
Q99679	Q96KD3
P46098	Q9UKL2
Q12860	Q6Y1H2
Q6ICI0	O00488
B1AL88	Q569G3
P19174	Q16775
Q8N819	Q6GV28
Q86UQ0	Q92934
P18858	Q969R8
O95221	O60688
Q9UL51	O95299
Q9NQX6	Q96DR7
Q8N142	Q6NW29
Q14241	P0CE72
P20382	P02724
A8MPS7	Q6UVW9
P51689	Q9Y5X3
Q9UDR5	Q8IUS5
Q5TDP6	Q86W47
Q495Y8	Q495C1
Q9NPR2	Q9BY08
Q14202	Q9H8H3
Q15762	Q5VZQ5
A4D0S4	O43463
P52790	Q6ZVT6
Q9H2Y9	O14562
Q6ZRR7	P08235
Q5VT98	Q9NXF7
Q9HAU5	Q96LI6
Q96HP0	Q8NDP4
Q8IVD9	Q9Y2V2
Q5JUQ0	P20783
Q8TD19	Q5TZF3
Q9BYW1	Q7Z7B8
P30613	P05413
A1L4K1	P10114
Q63HR2	O95498
Q9NWS8	Q53H96
Q8ND04	Q96DT5
Q4ZG55	Q96N76
P28476	Q969Q5
Q96PX1	Q9NWV8
Q9BYS8	Q99973
P78539	Q6NXP6
Q99489	Q9UK41
Q9ULF5	Q6ZWL3
O94823	Q8IWX5
Q8WXX0	Q8NGQ6
Q8IW92	Q9BZM4
Q9BQ83	Q30KQ5
Q9UL12	Q9H4I3
Q8NEU8	Q92733
Q8N446	H3BU77
Q9UKT8	Q96KD3
Q96HM7	O43822
C9JLJ4	Q86U17
P04062	Q86WW8
Q9NRS6	Q96QH8
Q9NU39	Q92572
Q6ZMV8	Q969M7
Q9Y239	Q6ISU1
Q12967	Q7Z5A7
Q9ULL1	Q9BYU5
Q53HC0	Q5JPI3
Q96PH1	Q9H340
P61073	P08833
Q92797	P01033
Q8N584	Q9H4G4
P59910	Q9UBX7
Q9BSI4	Q9NYL4
Q5T4I8	Q6YFQ2
Q9H0B8	Q9BWW9
Q93075	Q9NPI0
P14921	Q53FE4
Q9UDR5	O95072
Q5H9T9	Q6HA08
Q99650	Q5T7V8
Q5T5M9	Q5JW98
Q9Y6C5	Q9Y4C4
Q9H427	Q9HCN6
Q6ZN04	P15291
Q13480	Q14714
B5MCY1	P12821
Q9Y5P0	Q99439
Q9NQ90	Q8N967
Q9BTT6	Q96MS3
Q9NP59	Q96DT0
Q8WYK1	P48595
Q5VZL5	M0QYS7
O15440	Q86UY5
Q96T66	K7EJ46
Q8N1W2	P29965
Q9NS39	Q07812
Q14019	Q96RP3
Q6P996	J3QQS8
O43597	Q6L9T8
Q0VDF9	Q8N2C3
Q5TGP6	Q96B96
Q96QE3	Q9Y5E6
Q6VMQ6	Q5T1N1
Q53FA7	P00846
Q13478	Q8NGS8
P0C7A2	P35625
Q96AG3	Q401N2
P78333	Q969Q4
Q6P1A2	Q96FA7
P78562	Q8N4L1
Q6GTX8	Q9BV57
A8K979	P56937
A6NHR9	Q5JUW0
Q8N157	Q9NUM4
Q15772	Q5XKE5
Q8TET4	P16619
Q9H1Y3	Q96BN2
P48048	Q12792
Q96K62	Q9BX46
Q9Y678	Q9HAB8
Q68CR1	P25100
P80108	P16118
O14668	A6NEN9
P55201	Q8TBP0
Q9HAS3	Q9UHQ7
Q9HD23	Q9C002
P29017	P25105
O15204	Q8NBR0
Q96PE3	P35716
O60242	Q9H7Z7
O43189	Q969X0
P49685	Q7Z3B0
Q9GZL7	Q96BZ9
P35913	M0QY59
Q8N4J0	Q9UK11
P06280	A8MXV6
P59103	Q9BYR6
O43663	P40200
Q5K4L6	P43355
Q9NRF2	Q14990
Q8WZ73	Q6L9T8
Q7Z628	Q00LT1
P51452	Q8NGY5
A8MVX0	Q96C36
P22694	Q8N6N7
Q5EBM0	Q9NRS6
P18428	Q8N326
Q96NL3	P62081
P50443	Q86U17
Q8TAD4	Q96PE7
Q02252	Q15054
P51530	Q99805
Q00610	Q9H346
Q9NVR5	Q8NEC7
P81133	Q96KS9
Q86TC9	P07741
Q3SXY7	Q9UPE1
Q9BZD4	Q15828
Q8IYS4	O76099
E9PJI5	P10912
P16144	Q9BSE5
O00764	P40313
Q9NZL4	Q9Y3N9
Q92499	Q5T9A4
Q96TA1	Q6W3E5
Q9NUY8	O75900
P51786	Q5VT40
Q9BV94	Q99705
Q01814	O76021
O43313	Q8N0Y5
P24043	Q8NH61
Q49B96	P62273
Q9BYZ8	A6NGZ8
Q6N021	O95639
Q9NX62	Q53GA4
Q6Y2X3	Q8WUZ0
Q13442	O60812
Q99742	P20132
Q07020	Q86WS3
Q86W10	P20062
Q8N6M6	Q8N769
Q9HBI6	Q92552
Q99638	P10966
Q8WXG6	O94819
Q96G03	P10075
P18827	A6NEH8
Q6UX71	Q5MNZ9
O15523	Q9UBU9
Q8NDZ2	A1L167
Q6PCB0	Q9H4I8
Q08ER8	Q96DD0
P51589	Q8NGV5
O43497	Q9H6L5
Q53RE8	Q5T292
Q9H5J0	Q8NGG4
O75354	P30953
Q86SS6	O75310
Q8WV74	Q6L8G5
P09543	P48147
A8MZ59	Q6UWF9
Q9UL01	P0C7Q2
P53621	Q5JSH3
Q96G75	Q68CQ1
Q8N584	Q9UH17
Q9ULX7	Q5I0X7
Q9NVW2	Q9NR20
Q8IZU2	O43815
O60934	Q8WU10
Q9ULS6	Q68DH5
Q9H3Y0	Q8NGC2
Q9UIL4	Q99627
Q8IWZ8	P42568
Q8IXR5	O60813
Q6P2D8	Q96KC9
Q6NT04	Q13510
Q9Y3T9	Q9Y6P5
Q6DN90	A6NFN9
C9JL84	Q5XKR9
Q8NCM2	Q8NGS5
P48553	O43257
P03915	Q9BUN1
Q9NTI2	Q9P2G4
Q96P20	Q96F46
P98177	O75935
Q9NRJ4	P0DJ07
Q6UWX4	Q6ZWB6
Q9NSC2	O43825
Q7Z3B3	K7N7A3
Q659A1	O95427
Q8NGB4	Q8NI37
Q9NZM1	P61604
Q96P26	A6NHZ5
Q13435	O15492
Q9P258	Q9NWT6
Q8NEA6	Q9UNQ2
Q7RTS6	Q7Z5A7
Q9UN72	P16455
Q6ZV73	O43278
P10515	O14921
Q96AG3	Q9BYJ0
Q86X52	Q8IUD6
Q16790	Q9BSG5
Q9P246	Q92633
Q96RT8	Q8IZ26
Q96GY3	Q9H321
Q709F0	Q14807
Q9HBG7	P31267
P19256	Q9H246
O00571	Q8NBI6
P10809	P55107
Q6S545	Q8NDC4
A6PVC2	Q12851
Q8N944	Q8IWA5
P21583	Q6F5E7
Q96PU4	P62633
A0AUZ9	O14581
Q86XA9	Q9BY78
Q9Y6Q6	A6NGQ2
Q3YBR2	Q9UKI3
P35716	P40313
Q969M2	P80365
Q5SQQ9	O14907
Q66K66	Q13794
Q9NS39	Q9UM11
Q8NH50	Q9Y5M8
Q8WWM7	P46663
P55060	O14625
O15085	Q7Z353
Q13886	Q96DA0
Q9HBR0	Q96GQ7
P41225	Q3C1V1
O00206	Q8N4T0
O75309	Q13145
O95810	P49918
Q9Y2K2	P15954
Q9H3S3	P48739
Q6P1M0	P00797
Q6PIV2	O75365
Q86UK7	Q86T13
O43252	Q5T442
Q9BWM5	A6NNA2
Q6ZMK1	Q9NXK6
Q99727	Q6NUI1
Q3KR37	Q9BWS9
Q96K31	Q9Y584
Q9BWF3	Q9GZX6
P41180	P38571
Q5T6L9	Q9BQ65
Q9HCK5	Q9Y6U7
Q96L93	P01034
Q9ULQ0	P32456
Q9ULG6	Q12874
Q68DD2	Q8N584
Q9Y4W6	O75844
Q9NWZ5	Q8NBL1
Q15042	Q06210
Q9NPB0	C9JVW0
Q86YZ3	Q9HA90
Q6P9B6	Q71U36
Q9P2K5	P16260
Q68DV7	Q96EK9
Q8NFG4	Q9NUQ7
Q9Y6W5	Q9H2X8
O76002	Q9Y2C4
A2RU54	Q9H7X0
Q8N813	Q49B96
P57740	O95800
Q12778	O96001
Q8IXR5	Q6IPT2
Q14444	Q99946
Q9BUL5	P46779
Q9Y466	Q5TAA0
Q9Y2J0	Q9BZW8
P06396	P48668
P05111	Q96S42
Q9UH99	A6NHG9
P00746	Q8N5W8
Q01814	Q9UNX4
Q5FWE3	Q92871
Q8N4B4	Q3KNT9
Q7Z6W7	Q9Y6M9
Q32P44	Q8NGF8
Q13018	P11597
Q6UWL6	P0CG08
O43264	Q7Z3Y9
A8K4G0	P20290
Q8NGI7	P23919
Q9C0K3	Q14442
Q8N1T3	A6NGH8
Q8N184	Q8N5G0
O43598	Q9ULZ0
O15165	Q96IZ2
Q9NRR4	Q969N2
Q8WV83	P41247
Q8WY21	Q6B0I6
P08F94	Q96PQ1
P38567	P30046
Q9H0C5	P14317
Q9H1J5	O95707
P69849	Q9Y580
Q8N573	Q99497
Q9H920	Q9BUP0
A6NDH6	Q96FA7
Q8NGS3	Q96DA0
O75112	Q8IV13
P0CJ86	H3BQJ8
P78413	Q6JVE9
Q7Z392	Q9H1K4
Q9P2R3	Q8NGI0
Q6ZRR7	Q9NPC8
P15036	P27361
Q86W25	O43602
O14626	P45880
Q8NDG6	A6NCV1
Q8WV16	P0CW20
Q9BX79	Q9Y2T6
Q8IUY3	A1L170
Q5T9L3	Q96DC8
Q9H361	Q8TDW4
Q6S545	Q9NQT6
Q9NSE2	O43508
A1A4S6	Q96NX9
Q9H857	Q9P016
Q9BYU5	A8MTZ7
Q8NG83	Q9BV20
Q8IVF4	Q8NGT2
Q96NG3	Q8NEP7
A3KFT3	P01584
Q9UKZ9	P14770
Q2NKQ1	Q719H9
Q6PKC3	P30954
P14735	O00487
Q9BY12	Q5RKV6
Q8TCU5	Q9NZC4
O95835	Q9UKT4
D6RBM5	Q8NA82
Q9NYI0	O94927
Q86YS7	Q9H069
P52744	P53680
P51854	P15954
Q8IUX8	Q9Y5U2
O75173	O75324
Q3B8N5	Q8WU08
P28749	A5PLN9
Q9HAU0	Q96M69
Q56NI9	P26439
Q9Y3U8	P0CE67
Q8TDN1	A6NFH5
P23378	P08842
Q9H269	Q9NXS2
P09871	P14679
O00267	Q8WVJ2
Q9HAW8	Q96MH6
P50748	Q99941
O75443	P49326
Q8IV32	Q12841
Q14693	Q8NBP5
Q5W0B8	P37275
Q695T7	Q3ZCM7
P46100	Q96RS6
Q9BZW8	P20774
Q8N139	Q6UWI2
Q96S21	Q15121
Q4J6C6	Q7Z7M8
Q6H8Q1	Q96M02
Q12767	P29353
Q16514	P62316
Q96MU8	Q9H902
A1KZ92	Q6NW34
Q14683	Q569H4
Q53GS7	Q8IYJ0
P00450	Q6ZW33
Q8NFJ8	A8MZF0
Q9Y366	Q86YH6
Q9H5I5	Q9C0D5
Q8N0W3	Q15185
Q9H346	Q5XKR9
P0CJ72	Q9BQC6
Q96AC6	Q9BUN5
P45985	Q8WWC4
Q13395	Q96MD2
P09874	Q5D0E6
P10244	Q8N5J4
Q8WYR1	O76080
Q01543	P31785
Q96SQ7	Q6IPR3
O00764	P14209
Q5UCC4	Q9HBL7
P78540	Q5T230
O43464	Q13702
Q8N8A6	B1ANH7
O75144	Q9NPA1
Q15054	P06870
Q7L4E1	Q96CN7
Q6NTE8	Q2TAA2
Q14684	P33260
Q8IV48	P10147
Q6NV74	P60153
O60359	Q96MH6
Q15393	P41217
Q6PCE3	O43852
Q01780	Q9ULV4
P51955	Q8WUY1
Q96SB8	Q96DD7
Q14DG7	Q7Z5L4
P41091	Q6PK04
Q9P227	Q8NAG6
O43692	Q8TC76
Q53QZ3	P02765
O15355	Q96PI1
O14734	Q9NQE9
P23381	P19075
Q8TD33	Q9P1F3
P15309	Q8NGH3
Q96BT3	Q9BY10
A6NE02	Q6I9Y2
A6NEL2	Q9NQW7
Q13237	Q92527
Q96TA1	Q99584
Q5TG53	Q6P7N7
Q685J3	Q8IUB5
P14151	Q9UIU6
P42025	Q8WZ92
Q6YBV0	P29965
P43361	Q9BZD7
Q9H330	Q9H246
P78527	Q86W92
P0C091	Q9H2W1
P78363	Q96SN7
A6NFR6	Q6UXG3
Q15327	Q9Y6E7
Q9UJ98	A4D2G3
P07320	Q86SH4
Q6ZUT6	Q6YN16
Q8N2W9	Q8TAE7
Q9NRA2	Q14592
C9JRZ8	Q9NS69
Q86XQ3	Q86WI0
P35503	P62280
P26992	Q4VX62
Q9P1W3	Q8WWQ2
Q6PCB6	P43234
Q9HBX8	Q8N5Z0
P58004	Q9NQR9
O75310	Q9UBZ4
Q8NCQ7	Q99735
A8MVX0	A6NGS2
Q96CW9	Q8N126
Q05209	Q66K66
P22001	Q6ZMR5
P51530	Q9Y2S2
Q9Y613	Q96D42
Q8WTR4	Q8N3H0
P17181	P34995
Q96N87	P54619
Q9UF56	Q5XKK7
Q495T6	Q86XI6
Q66K79	Q9UFP1
Q8IUX7	Q93099
Q8IUK8	O43920
O75487	Q9NXR8
P43628	Q3YBR2
Q86YS7	Q86WN2
Q9UJ98	Q9Y466
O60494	Q4G0S7
Q9UHQ1	Q68CQ7
Q8IWG1	Q8NH42
Q96RR4	O43504
Q9Y252	Q8TD33
A5PLL1	Q16626
Q9UKY4	Q8TCU3
O95342	Q13461
P12081	Q96MF7
Q7Z6G8	Q9NYZ3
Q684P5	O14545
Q9BQ75	Q5T0J3
Q03167	P12755
Q12756	O95136
Q6X4W1	Q9NWU2
Q92888	Q99584
O94769	Q9Y5J1
Q9BZM4	Q6GYQ0
Q16790	Q7Z5M8
P35240	Q6ZRV3
Q8TE04	A6NCL7
Q9HBI1	O43805
O43155	O14599
Q7L1V2	Q7Z4H4
Q96PB7	O75629
Q12950	Q10588
O95622	Q9HCS5
Q13461	Q96LB9
Q8WWN8	Q86YC3
P78332	P35070
P56537	B1AMM8
Q96NW4	Q92791
O75191	Q8N7I0
Q12946	Q4G0N4
P29590	P07288
P52292	P35237
P55083	Q8N490
P10645	Q70YC5
O75592	Q8IWT1
Q8N135	P19784
Q9UKF6	Q8N6V9
Q9UN74	Q9H7B2
Q6IAN0	Q5T292
Q6P5S2	Q9H7X2
Q9H1X3	P24539
O43592	Q92871
Q8N7Z5	Q96MH6
Q8N806	Q16878
O75385	A8K830
Q00341	Q969S2
Q96NY8	Q9NXJ5
O96004	Q99417
Q96GJ1	P51580
P50851	O75496
Q8NGF8	Q9H609
Q8N0X4	Q9H469
P22079	Q96DW6
Q7Z601	O43610
Q96M96	Q9BVG4
Q8N7R7	Q9BQJ4
Q9UGM1	O15258
O94812	Q8NH02
P06737	Q9HAB8
P21439	Q9NQS3
Q5VW32	P00374
P47897	M0QXY4
P11940	Q8IU60
Q9Y6W6	Q96RD1
Q99965	Q9H6U8
Q86VL8	Q8NGS7
Q96C45	Q9Y375
Q9Y689	P06307
Q9NRM0	Q8NH69
Q9P206	Q9UGN5
Q96PE3	Q8NGG7
Q8NHY0	Q9UKW6
Q9H2E6	Q9NQ60
Q5JRC9	Q8NBS9
Q8N0Z3	O75830
Q8N972	Q9UI32
Q9P2Q2	Q2TAP0
P55345	Q14254
Q5T890	P15313
O43868	H7BY68
P30520	P50440
Q9BYX4	O00237
Q96T21	P05181
Q8TA86	Q9BXV9
P53621	Q9UBK5
Q9Y4G2	P29376
Q86X51	A6NHT5
Q8NAA4	Q9Y3L5
Q96LR4	Q9P1F3
P59095	P0CE67
Q14671	Q96FB5
Q7L2H7	Q8IV56
Q8NGZ6	P00403
P48739	P42898
O15014	Q9NX07
Q9BQS7	Q5FWF7
P84098	Q96FN9
Q6ZN01	Q68D42
Q8TD47	Q9UMX6
O15446	Q96LB2
Q9P2N4	Q8TDY2
Q14894	Q96H78
Q9H009	O00219
P61158	Q8NGF4
Q16288	Q495Y8
Q96MU6	Q8N414
K7ELQ4	Q7Z4S9
Q9UBS9	Q8N4A0
Q8NI28	Q5BLP8
O00555	Q8IZD9
Q01449	A4D250
Q8NGZ3	Q9H6J7
Q5JTW2	Q14CZ0
Q5SQS7	Q9GZZ7
Q13112	P21912
Q5T2T1	P62424
Q8NA23	O75947
Q4KMQ2	O15524
Q5XG92	Q6UXZ3
Q96L34	Q6PK18
Q8N4C8	O14867
P07225	Q9BVC5
Q8NCJ5	P09758
Q8N3T6	Q86SI9
Q5T1A1	A8MUZ8
Q6DKI2	P23919
Q8N119	Q9H2R5
P43146	P0C7P2
Q8N5C6	Q9Y6G5
Q9NVS9	Q7Z5G4
Q9UGB7	Q96GU1
Q9HAW8	P00846
Q8TER0	O60688
P23229	P00966
Q9NPI1	Q9Y6N5
O60427	Q9BTX3
Q96P50	Q8N0W7
O00631	Q8TBF4
P51572	O95925
Q8IVV2	Q9H1R3
Q8WXG6	Q15696
P0CG39	Q96KC9
O15553	P15848
P42898	P14649
P41180	P20333
Q96AY4	Q9C0J1
Q9UNH5	P82932
O00562	Q5FWF7
Q9NV39	Q96NW7
Q8N139	B2RC85
Q9H2L5	P04440
P0C7T8	Q5VZT2
Q96NH3	P57679
Q8NDG6	O60412
P11940	P60022
O60706	Q9H2S5
Q5JVX7	Q8N729
Q5VV43	Q8NCQ7
P48200	Q5T0F9
Q96P63	Q8WXF8
Q9BUR5	Q8NEX5
Q8IYG6	Q9HC16
Q8WWL7	Q8N9M1
Q6P656	Q9UMX5
Q14469	Q86SY8
Q969V6	A6NFK2
Q9Y2W3	P50213
P25092	Q96PP8
Q86VH2	Q68D91
Q8TC99	Q9Y2R9
Q9ULQ1	Q00LT1
Q14185	Q9BWM7
O43772	Q86T20
Q9Y6Q6	O95704
Q86YJ5	P46095
O43426	Q9H790
Q9BVI4	Q6PIV2
Q9UFD9	Q9NUJ7
O75746	Q7Z3B0
Q9Y4A5	Q8IZ83
Q68CP4	O00591
Q8IV42	Q6ZS17
P08195	Q9BRT8
Q9H9T3	P10635
Q9UI46	Q9BZJ7
Q6ZN30	Q6P2D0
Q86WS4	P0C7L1
Q8IZC4	Q9BR09
Q08623	Q8NDY8
Q8N446	P04156
P60852	O95389
Q5VUB5	O43325
Q96I13	Q96C57
G3V0H7	Q9H8W3
Q6ZMS4	Q9HBL8
Q16875	Q8NDY3
O75400	Q5VTB9
P48764	Q969T7
O95755	O95999
Q99759	Q8NGJ5
Q8NGX1	Q99525
Q8TAU3	Q9HD15
Q8TC84	Q9UBQ7
Q8NEV4	P0C7A2
Q2WGJ9	O94808
O43310	O75553
Q4AC94	Q9NWS1
Q9UMX9	A8MYZ5
Q86WZ0	Q15109
Q9Y6N8	O14830
P11766	Q6P1N0
B3KS81	Q9H4H8
P34913	Q9UBX0
Q8WUX9	Q9BZE3
Q4KWH8	Q16537
Q969P0	Q9NTJ5
Q9Y493	P24588
O60645	O94810
Q96G28	Q5TBE3
Q4KMQ2	Q9H114
O95810	P43166
Q9GZR1	Q8WTW4
P52746	Q96SE0
P20815	Q8N0Y3
P52788	Q96F63
P30566	O00300
Q9BX46	O14957
Q8NCS7	P01215
Q9NUP1	Q9BX59
Q8TEW0	Q8NG50
Q6ZUT1	Q8N6I1
Q13445	P19876
Q8IYS2	Q71DI3
O00515	P11413
Q6IQ32	Q7Z5Q5
Q6R2W3	Q9Y543
Q8TEA1	Q8IVW4
Q9H8X2	Q6PI98
P56270	Q7Z3Y7
Q8NE35	H0YL14
Q86YS7	Q8N8H1
P01024	Q6P988
Q9HCT0	Q5VT33
P55058	Q96GE6
Q9NRN5	Q8N8C0
Q6V0L0	P28222
P52298	P0C5K7
Q5T036	Q9H1E1
Q9Y490	Q9UNZ2
Q9Y5P3	Q6ZNC4
P15586	Q8WVE6
Q9BSG1	Q8NGN5
Q92616	Q7RTZ1
Q6UXK2	Q16739
O95834	Q9Y6H6
Q9H2X6	Q9H765
O15519	Q9H6I2
Q14008	P56705
Q9P227	Q4W5G0
C9J069	Q96II8
Q96NN9	P01033
Q2YD98	Q69YW2
Q8NBM8	Q3LFD5
Q8NET4	A8MTL3
Q86UA1	O00470
P19099	O00757
Q5VU65	Q7LFX5
Q8IWZ3	Q9BZM5
P78410	Q16773
A8K7I4	P48506
Q6ZNW5	P30044
Q96T76	P43234
P35325	Q8IUB2
E9PMM5	D6RA61
Q9NWS1	P49720
A4GXA9	Q9HCN8
Q05823	Q969G5
Q16665	Q6WBX8
P48039	P33260
Q8IVU1	P51164
Q15582	A6NNB3
Q9Y4A0	P24903
Q5JVS0	P09017
Q14653	Q8N7R7
Q9BXX0	P48065
Q9BXI9	Q8TBR7
Q9UQ07	O75964
Q9NR61	A6NEH6
P55089	P60002
O43610	Q8WXJ9
P43355	O14966
Q9UFP1	O00764
P02538	Q7L0Q8
O60264	Q9NP60
O60242	Q5J5C9
P60410	P31321
P00441	Q13956
P42262	P05538
Q9Y6C5	Q96C12
Q7Z7M8	Q6ZVS7
Q9NVA4	A6NCS6
Q96S07	P06307
Q8IZC4	E5RG02
Q7Z5Q5	Q9GZT8
Q7Z4H7	A8MTZ0
Q8WVF1	A6NHG9
Q5JS13	Q96IK1
Q9Y2A9	Q07687
Q9Y4F1	P17900
P57775	Q2M3R5
P54284	P52429
Q5TIA1	Q6UXZ3
Q8N428	Q9UM13
P23141	Q9NY65
O00337	Q9H6B4
P26038	Q86TL2
P59044	Q14CS0
Q9HBY8	Q969L4
Q96MG8	Q9Y5L3
Q7L1I2	Q5H9S7
Q9H091	Q9NZV8
Q8NHY0	Q99966
Q96P64	Q08623
Q92947	P01275
Q658N2	Q8N6T3
A6NCL7	P63316
Q9H4K1	O00254
Q8TEQ6	P62906
Q9NVU7	Q8N428
Q02383	P00505
Q8NA31	Q14761
Q13243	Q9Y530
P01111	O95998
P35523	Q6UXB0
Q8IYA7	Q13151
Q9Y5T5	Q96PS1
Q15181	Q7Z7B8
Q9Y3T9	Q8N7H1
Q9Y597	Q9Y5F6
Q99684	P09132
Q9BXR5	O75306
Q07075	O75077
Q02846	Q5SW24
Q13127	Q96F85
Q7Z7M1	P00403
Q92522	P83731
Q7Z2H8	Q6UWW9
Q9BT81	O95476
Q9NQ38	Q9H1C3
P0CW27	Q96EI5
Q7RTU3	Q9BWT6
Q2VYF4	Q6UX15
Q9Y259	Q969W9
Q86XJ1	Q9BYV1
Q6P2D0	Q5VYX0
Q8NH93	Q9BXC0
Q9P2D0	P46779
Q13614	P15311
Q86X52	Q6UXN2
Q6KC79	P18827
P29320	Q8TBZ9
Q9UHD2	Q96E14
Q9BWV7	P0C025
Q6P0N0	Q3LIE5
Q9UKK3	Q9BWH6
Q9NP99	Q7Z699
P32314	P47775
Q86X24	P13804
Q8TE23	Q8IVS2
Q16555	Q9NZ09
Q9H8S5	P50151
Q8IYT1	Q8N8L6
A3KMH1	P23588
Q9UNQ0	P49591
Q96PX9	P30050
O14529	P55774
P17787	J3QR46
Q14527	A8MYZ5
Q12901	Q16515
Q9BZ95	P60673
O75362	P55773
Q6ZU35	Q86Y38
Q9UN66	Q13227
Q96J84	Q8N326
Q9UJQ7	Q86W42
Q92508	A8K0R7
Q0VDD7	A8MWX3
Q6ZN04	A6NEE1
Q9H477	Q9BUR5
Q9P2G3	Q9Y576
Q16222	P04118
Q08499	Q13394
Q9H3E2	Q8IV13
Q8TE68	Q8N123
Q9H8Y1	Q08050
Q8TEA7	P12074
Q9BZE4	Q6H3X3
P00709	Q96HQ2
P09017	Q9P0N8
Q96GQ7	P58182
P49321	Q9P0W0
Q12891	Q6ZSK4
Q5SZK8	Q6ZS27
P02724	P35544
O75388	Q15040
P98187	Q11206
Q8IYL3	A6NFY7
P13797	P51572
Q96MN2	P38432
P51816	Q6ZN01
O75916	P50213
Q92888	Q5MNV8
Q13255	Q9NQ03
Q96SC8	P15104
Q96J86	Q9NYM9
Q9UQ13	P25101
Q9H0H5	Q8NHE4
